id_do_not_translate,original_text,translation
cryovolcanic.desc,"A world frozen beyond deepest chill, methane snow falls on mountains of water-ice and volcanos erupt with ammonia. Stellar radiation breaks down the volatiles to form an atmosphere of light gases such as nitrogen and oxygen while hydrogen is whisked into space. ",
dissident.name,Dissident Population,
dissident.desc,"$market is a dumping-ground for dissidents, rebels, free-thinkers, artists, and other troublemakers. Increases demand for weapons and marines to police the rabble. Increases availability of crew due to emigration.",
headquarters.name,Headquarters,
headquarters.desc,"$market is a center of military command and logistical operation for the ruling polity. Increases market stability.

Increases the quality and number of officers in $market's fleets.",
hydroponics_complex.name,Hydroponics Complex,
hydroponics_complex.desc,"Sealed-biosphere agricultural production facilities which allow farming in orbit or on the surface of inhospitable worlds. Requires crew to operate, organic growth medium, and heavy machinery for upkeep.",
population_1.name,Population,
population_1.desc,Only tens of people live here permanently.,
population_2.name,Population,
population_2.desc,Mere hundreds of people populate $marketName.,
population_3.name,Population,
population_3.desc,Thousands of people call $marketName home.,
population_4.name,Population,
population_4.desc,Tens of thousands of people live on $marketName.,
population_5.name,Population,
population_5.desc,$marketName is home to hundreds of thousands of people.,
population_6.name,Population,
population_6.desc,The population of $marketName is in the millions.,
population_7.name,Population,
population_7.desc,$marketName is a world of tens of millions.,
population_8.name,Population,
population_8.desc,$marketName is one of the few worlds in the Sector with a population of hundreds of millions.,
population_9.name,Population,
population_9.desc,"A precious refuge for humanity in a dangerous galaxy, $marketName is home to billions of souls.",
population_10.name,Population,
population_10.desc,"$marketName is a dominant population center in the Sector, a rival to Old Earth as home to tens of billions of humans.",
event_food_shortage.name,Food Shortage,
event_food_shortage.desc,"There's a temporary lack of available food on $market.
- Stability reduced by $stabilityPenalty
- Approximately $neededFood units of food needed to end shortage
- Food prices increased due to lowered food supply
- Increased reputation and experience from selling food",
recent_unrest.name,Recent Unrest,
recent_unrest.desc,$market has recently experienced tumultous events with a lingering effect on stability.,
event_trade_disruption.name,Trade Disruption,
event_trade_disruption.desc,"Trade fleets going to or from $market are taking significant losses. Piracy or war are most likely to blame.

The following commodities are affected:
$commoditySummary",
event_smuggling.name,Smuggling,
event_smuggling.desc,"$market is experiencing a high volume of smuggling activity.

- Stability reduced by $smugglingPenalty",
event_bounty.name,System Bounty,
rogue_ai_core.name,Rogue AI Core,
rogue_ai_core.desc,"There is a rogue AI core operating on or near $market. Its long-term plans and ambitions, beyond its own survival, are unknown.

At a minimum, the need to be on guard against its possible actions makes day-to-day operations less efficient and creates fertile ground for alarming rumours.",
ai_core_admin.name,AI Core Admin (hidden),
ai_core_admin.desc,Hidden condition to track when the core becomes un-removable. Does not need an icon.,
pirate_activity.name,Pirate Activity,
pirate_activity.desc,"There have been signs that pirates are targeting shipping and colonies in this system - from port inspectors being pressured to turn a blind eye, to inconsistencies in cargo manifests, to other increased criminal activity.

The pirates most likely have a base somewhere relatively nearby.",
hostile_activity.name,Hostile Activity,
pather_cells.name,Luddic Path Cells,
shipping_disruption.name,Trade Disruption,
comm_relay.name,Comm Relay (hidden),
comm_relay.desc,Hidden condition; does not need icon.,
habitable.name,Habitable,
habitable.desc,Human beings can survive unprotected exposure to the surface conditions of $market.,
ruins_scattered.name,Scattered Ruins,
ruins_scattered.desc,"This world was only lightly touched by the great project of the Domain before the collapse. Only scattered, broken domes remain, perchance holding lost caches of valuable materials.",
ruins_widespread.name,Widespread Ruins,
ruins_widespread.desc,"Widespread ruins, blips from radiation sources, and the distinctive burred radar-ping of foamed cerametal structures can be found across $market, evidence of a small but concerted colonization effort dating to the late expansion period of the Domain.",
ruins_extensive.name,Extensive Ruins,
ruins_extensive.desc,"Ruined cities can be found across the surface of $market, spilling from their broken hearts pitted roadways and crumbling magrail lines to the skeletons of factories, aquaponics domes, and comm-towers.",
ruins_vast.name,Vast Ruins,
ruins_vast.desc,"$market is covered in vast ruins; cities, factories, mines, farms, homes. The dead are in dread abundance, entwined with salvageable materials, goods, tools, and weapons. This world is a tomb for the hubris of the Domain's project of galactic colonization and hegemony. ",
cold.name,Cold,
cold.desc,"The low temperatures found on $market necessitates specialized equipment to perform normal operations, complicating life support and infrastructure.",
very_cold.name,Extreme Cold,
very_cold.desc,"Extreme cold necessitates specialized equipment and protocol to perform operations safely on $market, complicating logistics, life support, and infrastructure.",
hot.name,Hot,
hot.desc,"The high temperature conditions of $market necessitates specialized equipment to perform normal operations, complicating life support and infrastructure.",
very_hot.name,Extreme Heat,
very_hot.desc,"Extreme heat necessitates specialized equipment and protocol to safely operate on $market, seriously complicating logistics, life support, and long-term stability of infrastructure.",
tectonic_activity.name,Tectonic Activity,
tectonic_activity.desc,The surface of $market is unstable and prone to violent quakes. Any structures require special reinforcement and any excavation will involve a great deal of risk.,
extreme_tectonic_activity.name,Extreme Tectonic Activtity,
extreme_tectonic_activity.desc,$market's crust roils chaotically with extreme quakes and cataclysmic volcanism events. Any operations will require exceptional care and use of many-times redundant warning systems so that the worst dangers can be avoided. Construction on this world can only ever be considered semi-permanent.,
no_atmosphere.name,No Atmosphere,
no_atmosphere.desc,"No appreciable atmosphere exists on $market. Its surface is exposed to the hard weathering of space, a steady drizzle of radiation and micrometeorites.",
thin_atmosphere.name,Thin Atmosphere,
thin_atmosphere.desc,A rarefied atmosphere clings determinedly to $market's surface.,
toxic_atmosphere.name,Toxic Atmosphere,
toxic_atmosphere.desc,"The atmosphere of $market is exceptionally toxic and corrosive, abrading unprotected surfaces and requiring the hermetic sealing of any inhabited spaces.",
dense_atmosphere.name,Dense Atmosphere,
dense_atmosphere.desc,"The surface of $market is shrouded in a thick atmosphere, turbulent vortices at its crown and a cloying soup at its lowest foothold. Sensors are impaired, and operations must be made with care.",
mild_climate.name,Mild Climate,
mild_climate.desc,The climate of $market is welcoming and docile; a light mist greets each sunrise before retreating into soft clouds that glow appealingly at every sunset.,
extreme_weather.name,Extreme Weather,
extreme_weather.desc,"Violent storms bristling lightning rage across the skies of $market. Though a sublime beauty from orbit, this produces harsh surface conditions making transportation and habitation highly inconvenient.",
low_gravity.name,Low Gravity,
low_gravity.desc,"Gravity is exceptionally low, though significantly above zero-g, on the surface of $market. Workflow and operation of (relatively) heavy machinery is complicated by the non-standard procedures required to deal with altered conditions of friction, weight, and pressure dynamics.",
high_gravity.name,High Gravity,
high_gravity.desc,The force of gravity on the surface of $market is crushingly high. Humans require powered exoskeletons for regular movement and find even basic actions exhausting. Continual habitation is grueling at best. All operations take place with a heightened danger of falls and - if specialized engineering is not performed with adequete paranoia - structural collapse.,
irradiated.name,Irradiated,
irradiated.desc,The surface of $market is ravaged by radiation. Any living being must be confined to a shielded habitat to live for long here. Unhardened circuits and nanoscale materials or machinery will also rapidly fail in these harsh conditions.,
inimical_biosphere.name,Inimical Biosphere,
inimical_biosphere.desc,"The biosphere of $market is deadly to unprotected human beings. While the conditions are fascinating to biological scientists, surface technicians are hampered by strict quarantine protocols when carrying out routine tasks.",
water_surface.name,Water-covered Surface,
water_surface.desc,"This is an ocean world with no substantial solid surface to land, walk, or build upon. Operations are complicated by the need for specialized training and equipment.",
poor_light.name,Poor Light,
poor_light.desc,The light of $market's primary only provides feeble illumination and energy to this world.,
dark.name,Darkness,
dark.desc,"The surface of $market is dark and full of shadow, receiving effectively zero illumination from its primary.",
meteor_impacts.name,Meteor Impacts,
meteor_impacts.desc,"This world is bombarded at an appalling rate by regular meteor-showers. Any human inhabitant, however temporary, must keep a wary eye skyward. Any permanent installations would be best buried deep and well fortified.",
pollution.name,Pollution,
pollution.desc,"Human industry has left this world filled with dioxins, sulphur compounds, ash, and the steady ticking of decaying radioactive dust. Scraps of plastic cling to shards of foam-metal, the sky tuned to a dead channel.",
ore_sparse.name,Sparse Ore Deposits,
ore_sparse.desc,"A few sparse ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical.",
ore_moderate.name,Moderate Ore Deposits,
ore_moderate.desc,"$market contains moderate ore deposits that, under the right economic conditions, could be profitably exploited.",
ore_abundant.name,Abundant Ore Deposits,
ore_abundant.desc,"Abundant, widespread, and profitably extractable ore deposits can be found on $market.",
ore_rich.name,Rich Ore Deposits,
ore_rich.desc,Rich mineral deposits form a thick lattice within the crust of $market but require an ambitious industrialist to exploit them for fabulous profit.,
ore_ultrarich.name,Ultrarich Ore Deposits,
ore_ultrarich.desc,Mineral wealth exists on Midas-touched $market beyond the wildest fantasies of the legendary mining megacorps of the Domain era.,
rare_ore_sparse.name,Sparse Rare Ore Deposits,
rare_ore_sparse.desc,"A few sparse transplutonic ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical.",
rare_ore_moderate.name,Moderate Rare Ore Deposits,
rare_ore_moderate.desc,"$market contains modest transplutonic deposits that, with sustained industry and investment, could be profitably tapped.",
rare_ore_abundant.name,Abundant Rare Ore Deposits,
rare_ore_abundant.desc,"Abundant transplutonic deposits lay within the crust of $market, enough to fuel the ambitions of any worthwhile warlord or magnate.",
rare_ore_rich.name,Rich Rare Ore Deposits,
rare_ore_rich.desc,"Thick bands of transplutonics spread with glorious profusion through the crust of $market, promising great and potent power to they who would but reach out and take them.",
rare_ore_ultrarich.name,Ultrarich Rare Ore Deposits,
rare_ore_ultrarich.desc,The transplutonic deposits glimmering with unbelievable density on the sensor-grid evoke portents of a power which could forge mighty war-fleets to burn worlds to ash -- or an eon of splendour and wealth for a polity of crystal towers as existed in the pre-collapse cycles of the Domain.,
volatiles_trace.name,Trace Volatiles,
volatiles_trace.desc,The trace volatiles found here barely warrant harvesting.,
volatiles_diffuse.name,Diffuse Volatiles,
volatiles_diffuse.desc,"Diffuse volatiles can be found here, and may be sufficient for industrial extraction.",
volatiles_abundant.name,Abundant Volatiles,
volatiles_abundant.desc,Abundant volatiles may be economically extracted from $market.,
volatiles_plentiful.name,Plentiful Volatiles,
volatiles_plentiful.desc,"$market is a world-sized wellspring of volatiles - rich, deep, and potent.",
organics_trace.name,Trace Organics,
organics_trace.desc,"$market is nearly barren of organics reserves, though some extraction is possible.",
organics_common.name,Common Organics,
organics_common.desc,Economically exploitable reserves of organics can be found on $market.,
organics_abundant.name,Abundant Organics,
organics_abundant.desc,A river of wealth flows beneath the surface of $market - for those that would find and tap it.,
organics_plentiful.name,Plentiful Organics,
organics_plentiful.desc,"Reservoirs of valuable organics burst through the surface of $market in gouts over deep, dark pools that promise oceans of wealth to be found just below.",
farmland_poor.name,Poor Farmland,
farmland_poor.desc,Plant life grows only stunted and wearily here. It would require farmers with talent equal to their desperation to make these lands bear fruit.,
farmland_adequate.name,Adequate Farmland,
farmland_adequate.desc,A robust terran-compatible biosphere allows agricultural cultivation to take place on $market.,
farmland_rich.name,Rich Farmland,
farmland_rich.desc,The fields of $market promise a rich harvest to reward the farmers that work these fertile lands.,
farmland_bountiful.name,Bountiful Farmland,
farmland_bountiful.desc,"$market is a veritable Eden; flowering, riotous, lush, and luminous with plant life. Branches hang low, laden with fruit; fields of golden grain shimmer in the herbaceous breeze.",
solar_array.name,Orbital Solar Array,
solar_array.desc,"This planet has an array of solar shades or mirrors in orbit, judiciously positioned to bring its surface conditions closer to terran norms.",
