id_do_not_translate,original_text,translation
fullerene_spool.desc,An ultra-strong carbon nanomesh cable that is key to the construction of a space elevator. Greatly improves the efficiency of logistics between the surface of a planet and low orbit.,
plasma_dynamo.name,Plasma Dynamo,
plasma_dynamo.desc,"The superconductor-flanged centerpiece of an industrial system which creates a planetary-scale plasma net that enables efficient, spectacular extraction of volatiles from the atmosphere of a suitable gas giant.",
cryoarithmetic_engine.name,Cryoarithmetic Engine,
cryoarithmetic_engine.desc,"A quantum computer that violates the second law of thermodynamics by getting colder instead of hotter while performing computations.

A massive, planet-wide network of tendrils - ending in heatsinks - extrudes itself, using heat to fuel growth and continued computation. The hotter the planet surface, the more effective the computation engine. The unrivaled processing capacity is a boon to logistical and strategic planning.",
drone_replicator.name,Combat Drone Replicator,
drone_replicator.desc,"Mass-produces a number of drone variants, all suited to various tasks related to planetary defense against raids and invasions, as well as local security actions.

Its use was banned by the Domain many cycles prior to the Collapse, so it's surprising to find a working example in the Persean Sector.",
dealmaker_holosuite.name,Dealmaker Holosuite,
dealmaker_holosuite.desc,"Generates an interactive environment designed to stimulate negotiations with prospective business partners. Additionally, the self-adapting microemotion smart sensor systems built into such high-end VR suites  allow real-time tracking of the veracity of expression, providing a technically ethical advantage in business dealings to the facility operator.  

The built-in marketing materials are keen to emphasize that this is not an AI, but merely a sophisticated weighted network in full compliance with the relevant Domain regulations.",
low_tech_package.name,Low Tech Blueprint Package,
low_tech_package.desc,"Enables heavy industry to construct the more common ship hulls, weapons, and fighter LPCs from the ""low tech"" school of design.",
midline_package.name,Midline Blueprint Package,
midline_package.desc,"Enables heavy industry to construct the more common ship hulls, weapons, and fighter LPCs from the ""midline"" school of design.",
high_tech_package.name,High Tech Blueprint Package,
high_tech_package.desc,"Enables heavy industry to construct the more common ship hulls, weapons, and fighter LPCs from the ""high tech"" school of design.",
missile_package.name,Missile Blueprint Package,
missile_package.desc,Enables heavy industry to construct a range of the more common missile weapons.,
pirate_package.name,Pirate Blueprint Package,
pirate_package.desc,"A collection of hacks, after-market modification specs, and partially successful attempts at corrupted blueprint recovery. Enables heavy industry to construct the low quality but combat-capable hulls more commonly used by pirates and other undesirables.",
LP_package.name,Luddic Path Blueprint Package,
LP_package.desc,A collection of hacks and after-market modification specs that enables heavy industry to construct the hulls more commonly used by members of the Luddic Path.,
LC_package.name,Luddic Church Blueprint Package,
LC_package.desc,"A collection of hacks and after-market modification specs that enables heavy industry to construct hulls bearing Luddic Church markings. Since the modifications are cosmetic in nature, the hulls produced are otherwise pristine.",
XIV_package.name,XIV Battlegroup Blueprint Package,
XIV_package.desc,A set of blueprints that enable heavy industry to produce the near-legendary hulls employed by the Hegemony-founding XIV Battlegroup. The continued existence - and location - of these blueprints is subject of many rumors.,
heg_aux_package.name,Hegemony Auxiliary Blueprint Package,
heg_aux_package.desc,"A collection of modified blueprints that bring several civilian craft up to mil-spec or simply add Hegemony markings. Created shortly after the Collapse, some of these blueprints improve hull performance without the increased incidence of d-mods associated with later blueprint hacking efforts.",
ship_bp.name,Base Ship Blueprint,
ship_bp.desc,Enables heavy industry to construct ship hulls described by this blueprint.,
weapon_bp.name,Base Weapon Blueprint,
weapon_bp.desc,Enables heavy industry to construct ship weapons described by this blueprint.,
fighter_bp.name,Base Fighter Blueprint,
fighter_bp.desc,Enables heavy industry to construct fighter LPCs described by this blueprint.,
industry_bp.name,Base Industry Blueprint,
industry_bp.desc,Contains the technological specifications needed to construct a planet-side industry or structure.,
janus.name,Janus Device,
janus.desc,"This is the first generation Janus Device created by Elissa Zal based on the theories developed by Scylla Coureuse, among others.

While integrated with a hyperdrive this device allows a hyperwave pulse tuned to the unique resonant signatures of two Gates to be transmitted into a Gate aperture. After a tremendous energy input which requires a great quantity of fuel to generate, a temporary link between those Gates is created. One ship or fleet may then transit the Gate network.",
planetkiller.name,Planetkiller,
planetkiller.desc,"A specialized warhead capable of sundering a world. Operating principles are only dimly understood and are thought to involve utilizing the world's spin and some form of resonance.

This one is safed and requires authorization codes, possibly long-lost, to become anything more than a complicated, but completely inert piece of machinery.",
topographic_data.name,Topographic Data,
topographic_data.desc,"This secure TriPad contains a recent database which holds detailed scans and analyses of the hyperspace topography in the Persean Sector, organized according to traditional guidelines set by the Domain Explorarium. Data such as this is an essential element to successful expeditions outside the core worlds.",
