id_do_not_translate,original_text,translation
food_shortage.end_expired.news..assessment,"Unrest increased by $stabilityPenaltyExpire.
Food prices $onOrAt $market are back to their normal levels.",
food_shortage.end_player.news..subject,Food shortage $onOrAt $market over,
food_shortage.end_player.news..summary,"The report indicates that the food shortage $onOrAt $market is now over. The arrival of a relief fleet commaned by $playerName is credited with ending the shortage, though a local administrator was quick to point out his own contributions.",
food_shortage.end_player.news..assessment,"Unrest increased by $stabilityPenaltyEnd.
Food prices $onOrAt $market are back to their normal levels.",
food_shortage.end_player_black.news..subject,Food shortage $onOrAt $market over,
food_shortage.end_player_black.news..summary,"The report indicates that the food shortage $onOrAt $market is now over. Unfortunately, much of the food relief distribution was handled by criminal elements, strengthening their position and undermining local authorities both financially and in the eyes of the population.",
food_shortage.end_player_black.news..assessment,"Unrest increased by $stabilityPenaltyEndBlack.

Food prices $onOrAt $market are back to their normal levels.",
food_shortage.end_player_fast.news..subject,Food shortage $onOrAt $market over,
food_shortage.end_player_fast.news..summary,The report indicates that the food shortage $onOrAt $market is now over. The timely arrival of a relief fleet commaned by $playerName is credited with ending the shortage quickly and mitigating its long-term effects.,
food_shortage.end_player_fast.news..assessment,"No unrest increase $onOrAt $market.

Food prices $onOrAt $market are back to their normal levels.",
....subject,,
....summary,,
....assessment,,
....subject,,
....summary,,
....assessment,,
# player smuggling investigation....subject,,
# player smuggling investigation....summary,,
# player smuggling investigation....assessment,,
investigation_smuggling.start_smuggling.secure_comm..subject,Smuggling investigation $onOrAt $market,
investigation_smuggling.start_smuggling.secure_comm..summary,An encryped message from one of your contacts in $market's underworld warns you that $theMarketFaction authorities have launched an investigation into the recent smuggling activity.,
investigation_smuggling.start_smuggling.secure_comm..assessment,"If the investigation finds you involved in the smuggling, $theMarketFaction will become inhospitable towards you.

$InvestigatorPost $investigatorName is charged with carrying out the investigation. You may be able to influence the outcome by contacting $invHimOrHer.

The investigation will last for $duration.",
investigation_smuggling.clear_smuggling.player_intel_always..subject,Smuggling investigation $onOrAt $market - cleared,
investigation_smuggling.clear_smuggling.player_intel_always..summary,"The $marketFaction smuggling investigation is over, and it looks like your name was cleared - or, at least, there was no conclusive evidence to prove your involvement.",
investigation_smuggling.clear_smuggling.player_intel_always..assessment,Relationship with $theMarketFaction is unaffected.,
investigation_smuggling.clear_smuggling_bribe.player_intel_always..subject,Smuggling investigation $onOrAt $market - cleared,
investigation_smuggling.clear_smuggling_bribe.player_intel_always..summary,"The $marketFaction smuggling investigation has been completed according to your ""special arrangement"" with $investigatorName, and this particular stain on your reputation has been erased.",
investigation_smuggling.clear_smuggling_bribe.player_intel_always..assessment,"Bribe to $InvestigatorPost $investigatorName was effective.

Relationship with $theMarketFaction is unaffected.",
investigation_smuggling.player_guilty_smuggling.player_intel_always..subject,Smuggling investigation $onOrAt $market - convicted,
investigation_smuggling.player_guilty_smuggling.player_intel_always..summary,"The $marketFaction investigation has concluded that you were, indeed, involved in the recent smuggling activity.",
investigation_smuggling.player_guilty_smuggling.player_intel_always..assessment,,
# faction good reputation investigation....subject,,
# faction good reputation investigation....summary,,
# faction good reputation investigation....assessment,,
investigation_goodrep.start_goodrep.secure_comm..subject,$MarketFaction investigation of your ties to $OtherFaction,
investigation_goodrep.start_goodrep.secure_comm..summary,An encryped message from one of your contacts $onOrAt $market warns you that $theMarketFaction authorities have launched an investigation into your ties with $theOtherFactionLong.,
investigation_goodrep.start_goodrep.secure_comm..assessment,"$TheMarketFaction may become hostile towards you as a result of the investigation.

$InvestigatorPost $investigatorName $onOrAt $market is charged with carrying out the investigation. You may be able to influence the outcome by contacting $invHimOrHer.

The investigation will last for $duration.",
investigation_goodrep.clear_goodrep.player_intel_always..subject,$MarketFaction investigation of your ties to $OtherFaction - cleared,
investigation_goodrep.clear_goodrep.player_intel_always..summary,"The $marketFaction investigation of your ties with $theOtherFactionLong is over, and you've been cleared of acting against $marketFaction interests.",
investigation_goodrep.clear_goodrep.player_intel_always..assessment,Relationship with $theMarketFaction is unaffected.,
investigation_goodrep.clear_goodrep_bribe.player_intel_always..subject,$MarketFaction investigation of your ties to $OtherFaction - cleared,
investigation_goodrep.clear_goodrep_bribe.player_intel_always..summary,"The $marketFaction investigation of your ties with $theOtherFactionLong has been completed according to your ""special arrangement"" with $investigatorName, and you've been cleared of acting against $marketFaction interests.",
investigation_goodrep.clear_goodrep_bribe.player_intel_always..assessment,"Bribe to $InvestigatorPost $investigatorName was effective.

Relationship with $theMarketFaction is unaffected.",
investigation_goodrep.player_guilty_goodrep.player_intel_always..subject,$MarketFaction investigation of your ties to $OtherFaction - convicted,
investigation_goodrep.player_guilty_goodrep.player_intel_always..summary,The $marketFaction investigation of your ties with $theOtherFactionLong has concluded that you've been acting against the interests of $theMarketFaction. It is clear that you will be treated with particular suspicion by $theMarketFaction.,
investigation_goodrep.player_guilty_goodrep.player_intel_always..assessment,,
....subject,,
....summary,,
....assessment,,
# comm sniffer investigation....subject,,
# comm sniffer investigation....summary,,
# comm sniffer investigation....assessment,,
investigation_comm_sniffer.start_comm_sniffer.player_intel_always..subject,Lost contact with comm sniffer at $name,
investigation_comm_sniffer.start_comm_sniffer.player_intel_always..summary,The comm sniffer you've installed on $name has stopped reporting. This is likely due to it being removed by security software. It's possible that a manual audit of the security logs will spawn an investigation into the sniffer's origin.,
investigation_comm_sniffer.start_comm_sniffer.player_intel_always..assessment,Comm sniffer at $name is no longer operational.,
investigation_comm_sniffer.player_guilty_comm_sniffer.player_intel_always..subject,Comm sniffer at $name traced back to you,
investigation_comm_sniffer.player_guilty_comm_sniffer.player_intel_always..summary,A thorough audit of the security logs on $name has resulted in you being blamed for the security breach.,
investigation_comm_sniffer.player_guilty_comm_sniffer.player_intel_always..assessment,,
....subject,,
....summary,,
....assessment,,
# trade disruption reports....subject,,
# trade disruption reports....summary,,
# trade disruption reports....assessment,,
trade_disruption.report_td.news..subject,Trade disrupted $onOrAt $market in the $marketSystem system,
trade_disruption.report_td.news..summary,Trade fleets going to or from $market are not reaching their destination in significant numbers. The report points to piracy or war as being the most likely culprits.,
trade_disruption.report_td.news..assessment,"Prices likely to revert to norm within two months.

The following commodities are affected:
$commoditySummary

Select ""prices"" and switch to the map tab for details.",
trade_disruption.report_smuggling.news..subject,Smuggling activity $onOrAt $market in the $marketSystem system,
trade_disruption.report_smuggling.news..summary,The situation $onOrAt $market has grown less stable as a result of recent smuggling activity. The local authorities are promising a full-scale investigation.,
trade_disruption.report_smuggling.news..assessment,Stability reduced by $smugglingPenalty.,
trade_disruption.report_smuggling_player.news..subject,Smuggling activity $onOrAt $market in the $marketSystem system,
trade_disruption.report_smuggling_player.news..summary,"The situation $onOrAt $market has grown less stable as a result of recent smuggling activity, in which you've been involved. The local authorities are promising a full-scale investigation.",
trade_disruption.report_smuggling_player.news..assessment,"Stability reduced by $smugglingPenalty.

Your recent actions have contributed to the situation.",
....subject,,
....summary,,
....assessment,,
# rep changes....subject,,
# rep changes....summary,,
# rep changes....assessment,,
rep_tracker.trade_rep.player_intel_always..subject,Standing with $theFaction improved due to trade,
rep_tracker.trade_rep.player_intel_always..summary,There are indications that your recent trading activity at $marketList has been noted by $theFaction.,
rep_tracker.trade_rep.player_intel_always..assessment,,
rep_tracker.smuggling_rep.player_intel_always..subject,Standing with $theFaction reduced due to smuggling,
rep_tracker.smuggling_rep.player_intel_always..summary,"There are indications that your recent black-market trade with $marketList has been noted by $theFaction. There is no conclusive proof, but it's clear that your actions are being scrutinized more closely than before.",
rep_tracker.smuggling_rep.player_intel_always..assessment,,
rep_tracker.trade_negative.player_intel_always..subject,Standing with $theHostileFaction reduced due to trade with $pickedMarket,
rep_tracker.trade_negative.player_intel_always..summary,"There are indications that your trade with $pickedMarket was significant enough to be noticed by $theHostileFaction, which is hostile to $theFaction.",
rep_tracker.trade_negative.player_intel_always..assessment,"Your activity initially reported by parties at $hostileMarket.

Smuggling (if any) had less of an impact than open trade.",
#rep_tracker.trade_no_change.player_intel_always..subject,Standing with $theFaction unaffected by trade,
#rep_tracker.trade_no_change.player_intel_always..summary,"Your recent trade activity with $marketList, while noted by $theFaction, has not led to any change in relations.",
#rep_tracker.trade_no_change.player_intel_always..assessment,The relationship is at a point where trade will not influence it.,
#rep_tracker.trade_no_change_negative.player_intel_always..subject,Standing with $theHostileFaction unaffected by trade,
#rep_tracker.trade_no_change_negative.player_intel_always..summary,"Your recent trade activity with $pickedMarket, while noted by the hostile authorities at $hostileMarket, has not led to any change in relations.",
#rep_tracker.trade_no_change_negative.player_intel_always..assessment,The relationship is at a point where trade will not influence it.,
rep_tracker.trade_xp_gain.player_intel_always..subject,Trade experience,
rep_tracker.trade_xp_gain.player_intel_always..summary,Your recent trades have given you fresh insight into the workings of the economy. You've also made some valuable contacts.,
rep_tracker.trade_xp_gain.player_intel_always..assessment,Gained $xpGain experience.,
rep_tracker.rep_decay_positive.player_intel_always..subject,Standing with $theFaction improved,
rep_tracker.rep_decay_positive.player_intel_always..summary,"Minor slights and offenses are forgotten after a time, if not reinforced by a recent pattern of behavior.",
rep_tracker.rep_decay_positive.player_intel_always..assessment,,
#rep_tracker.rep_decay_negative.player_intel_always..subject,Standing with $theFaction reduced,
#rep_tracker.rep_decay_negative.player_intel_always..summary,"Minor slights and small favors are quickly forgotten, if not reinforced by a recent pattern of behavior.",
#rep_tracker.rep_decay_negative.player_intel_always..assessment,,
rep_tracker.battle_rep_positive.secure_comm..subject,Standing with $theFaction improved,
rep_tracker.battle_rep_positive.secure_comm..summary,Your battle with the $otherFleetName was noted by $theFaction at $market.,
rep_tracker.battle_rep_positive.secure_comm..assessment,News of the battle initially picked up by parties at $market.,
rep_tracker.comm_access_granted.player_intel_always..subject,$Faction secure comm access granted,
rep_tracker.comm_access_granted.player_intel_always..summary,"Due to your good standing ($factionStanding), you've been granted access to internal $Faction comm channels by the authorities $onOrAt $market.",
rep_tracker.comm_access_granted.player_intel_always..assessment,,
rep_tracker.comm_access_revoked.player_intel_always..subject,$Faction secure comm access revoked,
rep_tracker.comm_access_revoked.player_intel_always..summary,"Due to your reduced standing ($factionStanding), your access to internal $Faction comm channels has been revoked.",
rep_tracker.comm_access_revoked.player_intel_always..assessment,,
....subject,,
....summary,,
....assessment,,
# trade info updates (prices etc)....subject,,
# trade info updates (prices etc)....summary,,
# trade info updates (prices etc)....assessment,,
trade_info.prices_market.player_intel_always..subject,$market price update,
trade_info.prices_market.player_intel_always..summary,Tapping into the local comm net yields information on some commodities with unusual prices at $market.,
trade_info.prices_market.player_intel_always..assessment,$priceList,
trade_info.prices_local.player_intel_always..subject,Local price update,
trade_info.prices_local.player_intel_always..summary,Tapping into local comm traffic and other available data sources has yielded price data for some commodities at in-system markets.,
trade_info.prices_local.player_intel_always..assessment,$priceList,
trade_info.prices_sniffer.player_intel_always..subject,Price update,
trade_info.prices_sniffer.player_intel_always..summary,A microburst from the comm sniffer at $relayName contains price information about some commodities in the $fromSystem star system.,
trade_info.prices_sniffer.player_intel_always..assessment,$priceList,
trade_info.prices_remote.player_intel_always..subject,Price update,
trade_info.prices_remote.player_intel_always..summary,Tapping into local comm traffic and other available data sources has yielded price data for some commodities in the $fromSystem star system.,
trade_info.prices_remote.player_intel_always..assessment,$priceList,
....subject,,
....summary,,
....assessment,,
# customs inspection....subject,,
# customs inspection....summary,,
# customs inspection....assessment,,
customs_inspection.player_evaded.player_intel_always..subject,Customs inspection,
customs_inspection.player_evaded.player_intel_always..summary,"Your evasion of the customs inspection, while successful in the short term, was noted by the $faction authorities.",
customs_inspection.player_evaded.player_intel_always..assessment,,
....subject,,
....summary,,
....assessment,,
....subject,,
....summary,,
....assessment,,
# system-wide bounty reports....subject,,
# system-wide bounty reports....summary,,
# system-wide bounty reports....assessment,,
system_bounty.likely.player_intel..subject,Bounty likely to be offered by $market,
system_bounty.likely.player_intel..summary,Authorities $onOrAt $market are rumored to be considering posting a bounty on all fleets hostile to $theMarketFaction.,
system_bounty.likely.player_intel..assessment,"
",
system_bounty.start.news..subject,Bounty offered by $market,
system_bounty.start.news..summary,"Authorities $onOrAt $market, fed up with constant attacks on shipping, trade disruption, and the general state of near-war, have posted a bounty on any and all fleets hostile to $theMarketFaction.",
system_bounty.start.news..assessment,"Will last for $daysLeft days.

Amount paid depends on ships destroyed (starting at $baseBounty credits for a frigate), standing with $theMarketFaction may also improve.

Ships must be destroyed or disabled in-system or nearby in hyperspace.

Payment delivered via secure comm channel through a nearby comm relay.
",
system_bounty.start_with_faction.news..subject,Bounty offered by $market,
system_bounty.start_with_faction.news..summary,"Authorities $onOrAt $market, fed up with constant attacks on shipping, trade disruption, and the general state of near-war, have posted a bounty on any and all fleets hostile to $theMarketFaction.",
system_bounty.start_with_faction.news..assessment,"Will last for $daysLeft days.

Likely triggered by $enemyFaction activity in the system.

Amount paid depends on ships destroyed (starting at $baseBounty credits for a frigate), standing with $theMarketFaction may also improve.

Ships must be destroyed or disabled in-system or nearby in hyperspace.

Payment delivered via secure comm channel through a nearby comm relay.
",
system_bounty.bounty_payment.secure_comm..subject,Bounty payment from $market: $bountyCredits credits,
system_bounty.bounty_payment.secure_comm..summary,The message has an encrypted attachment that contains a payment of $bountyCredits credits.,
system_bounty.bounty_payment.secure_comm..assessment,"$bountyCredits credits gained.

$market will continue to offer the bounty for $daysLeft day(s).",
system_bounty.bounty_payment_share.secure_comm..subject,Bounty payment from $market: $bountyCredits credits,
system_bounty.bounty_payment_share.secure_comm..summary,"The message has an encrypted attachment that contains your share of the bounty, coming to $bountyCredits credits.",
system_bounty.bounty_payment_share.secure_comm..assessment,"$bountyCredits credits gained.

$market will continue to offer the bounty for $daysLeft day(s).",
system_bounty.bounty_no_payment.player_intel_always..subject,Assessment re: bounty from $market,
system_bounty.bounty_no_payment.player_intel_always..summary,The message contains an internal intelligence report regarding the bounty on offer from $market.,
system_bounty.bounty_no_payment.player_intel_always..assessment,"No bounty payment due to $theMarketFaction being $factionStanding towards you.

$market will continue to offer the bounty for $daysLeft day(s).",
system_bounty.bounty_no_rep.player_intel_always..subject,Assessment re: bounty from $market,
system_bounty.bounty_no_rep.player_intel_always..summary,The message contains an internal intelligence report regarding the bounty on offer from $market.,
system_bounty.bounty_no_rep.player_intel_always..assessment,"No bounty payment or relationship improvement due to $theMarketFaction being $factionStanding towards you.

$market will continue to offer the bounty for $daysLeft day(s).",
system_bounty.end.news..subject,Bounty offered by $market over,
system_bounty.end.news..summary,Authorities $onOrAt $market have declared the bounty period to be officially over.,
system_bounty.end.news..assessment,No more bounty payments will be made.,
....subject,,
....summary,,
....assessment,,
comm_sniffer.report.player_comm_sniffer..subject,Comm sniffer data,
comm_sniffer.report.player_comm_sniffer..summary,"An attachment contains a dump of various message traffic, both human-generated and automated, passing through the $system system.",
comm_sniffer.report.player_comm_sniffer..assessment,Improves the chances of accurately predicting future events in the star system.,
....subject,,
....summary,,
....assessment,,
# person bounty reports....subject,,
# person bounty reports....summary,,
# person bounty reports....assessment,,
person_bounty.start_pirate.news..subject,$bountyCredits credit bounty posted by $theFaction on $targetName,
person_bounty.start_pirate.news..summary,"$Faction authorities $onOrAt $market have posted a bounty for bringing $targetName, a notorious pirate, to justice.",
person_bounty.start_pirate.news..assessment,"$bountyCredits credit reward, delivered via secure comm channel through a nearby comm relay.

Offered for $daysLeft days.

$targetDesc

Rumored to be $hideoutCrumb.",
person_bounty.start_deserter.news..subject,$bountyCredits credit bounty posted by $theFaction on $targetName,
person_bounty.start_deserter.news..summary,"$Faction authorities $onOrAt $market have posted a bounty for bringing $targetName, convicted of desertion, to justice.",
person_bounty.start_deserter.news..assessment,"$bountyCredits credit reward delivered via secure comm channel through a nearby comm relay.

Offered for $daysLeft days.

$targetDesc

Rumored to be $hideoutCrumb.",
person_bounty.bounty_payment_end.secure_comm..subject,Bounty payment from $theFaction: $bountyCredits credits,
person_bounty.bounty_payment_end.secure_comm..summary,The message has an encrypted attachment that contains a payment of $bountyCredits credits for bringing $targetName to justice.,
person_bounty.bounty_payment_end.secure_comm..assessment,$bountyCredits credits gained.,
person_bounty.bounty_payment_share_end.secure_comm..subject,Bounty payment from $theFaction: $bountyCredits credits,
person_bounty.bounty_payment_share_end.secure_comm..summary,"The message has an encrypted attachment that contains your share of the bounty, coming to $bountyCredits credits, for bringing $targetName to justice.",
person_bounty.bounty_payment_share_end.secure_comm..assessment,$bountyCredits credits gained.,
person_bounty.bounty_no_payment_end.player_intel_always..subject,Assessment re: $targetName bounty,
person_bounty.bounty_no_payment_end.player_intel_always..summary,The message contains an internal intelligence report regarding the bounty on $targetName.,
person_bounty.bounty_no_payment_end.player_intel_always..assessment,No bounty payment due to $theFaction being $factionStanding towards you.,
person_bounty.bounty_no_rep_end.player_intel_always..subject,Assessment re: $targetName bounty,
person_bounty.bounty_no_rep_end.player_intel_always..summary,The message contains an internal intelligence report regarding the bounty on $targetName.,
person_bounty.bounty_no_rep_end.player_intel_always..assessment,No bounty payment or relationship improvement due to $theFaction being $factionStanding towards you.,
person_bounty.other_end.news..subject,Bounty on $targetName over,
person_bounty.other_end.news..summary,Reports indicate that $targetName was killed in an incident unrelated to the bounty posting.,
person_bounty.other_end.news..assessment,The bounty is no longer on offer.,
person_bounty.expire_end.news..subject,Bounty on $targetName over,
person_bounty.expire_end.news..summary,$Faction authorities $onOrAt $market have withdrawn the bounty previously posted on $targetName.,
person_bounty.expire_end.news..assessment,The bounty is no longer on offer.,
....subject,,
....summary,,
....assessment,,
# test mission....subject,,
# test mission....summary,,
# test mission....assessment,,
test_mission.start.player_intel_always..subject,Test mission accepted,
test_mission.start.player_intel_always..summary,"You've accepted a test mission. Congratulations, I guess.",
test_mission.start.player_intel_always..assessment,No rewards are likely forthcoming.,
test_mission.end_success.player_intel_always..subject,Test mission completed success,
test_mission.end_success.player_intel_always..summary,Test mission completed successfully.,
test_mission.end_success.player_intel_always..assessment,,
test_mission.end_failure.player_intel_always..subject,Test mission completed failure,
test_mission.end_failure.player_intel_always..summary,Test mission failed.,
test_mission.end_failure.player_intel_always..assessment,,
....subject,,
....summary,,
....assessment,,
# market procurement mission....subject,,
# market procurement mission....summary,,
# market procurement mission....assessment,,
market_procurement.posting.posting..subject,Acquire $quantity units of $commodity and deliver to $market within $daysLeft for a $rewardCredits payment.,
market_procurement.posting.posting..summary,Contact $contactDesc $contactName at $market to complete the delivery.,
market_procurement.posting.posting..assessment,"Base payment is $perUnit per unit.

$market is controlled by $marketFaction authorities.

$contactName $contactDetail.",
market_procurement.posting_bonus.posting..subject,Acquire $quantity units of $commodity and deliver to $market within $daysLeft for a $rewardCredits payment. $bonusCredits bonus for delivery within $bonusDays.,
market_procurement.posting_bonus.posting..summary,Contact $contactDesc $contactName at $market to complete the delivery.,
market_procurement.posting_bonus.posting..assessment,"Base payment is $perUnit per unit.

$market is controlled by $marketFaction authorities.

$contactName $contactDetail.",
market_procurement.accept.secure_comm..subject,Accepted: acquire $quantity unit(s) of $commodity and deliver to $market,
market_procurement.accept.secure_comm..summary,"Acquire $quantity units of $commodity and deliver to $market.

Contact $contactDesc $contactName at $market to complete the delivery.",
market_procurement.accept.secure_comm..assessment,"$daysLeft to complete the delivery.

$rewardCredits reward ($perUnit per unit).

$market is controlled by $marketFaction authorities.

$contactName $contactDetail.",
market_procurement.accept_bonus.secure_comm..subject,Accepted: acquire $quantity unit(s) of $commodity and deliver to $market,
market_procurement.accept_bonus.secure_comm..summary,"Acquire $quantity units of $commodity and deliver to $market.

Contact $contactDesc $contactName at $market to complete the delivery.",
market_procurement.accept_bonus.secure_comm..assessment,"$daysLeft to complete the delivery.

$rewardCredits reward ($perUnit per unit).

$bonusCredits bonus if delivered within $bonusDays.

$market is controlled by $marketFaction authorities.

$contactName $contactDetail.",
market_procurement.success.player_intel_always..subject,Completed: $quantity unit(s) of $commodity delivered to $market,
market_procurement.success.player_intel_always..summary,Mission completed successfully.,
market_procurement.success.player_intel_always..assessment,$actualReward gained.,
market_procurement.success_bonus.player_intel_always..subject,Completed: $quantity unit(s) of $commodity delivered to $market,
market_procurement.success_bonus.player_intel_always..summary,Mission completed successfully.,
market_procurement.success_bonus.player_intel_always..assessment,"$actualReward gained, including $bonusCredits bonus.",
market_procurement.failure.player_intel_always..subject,Failed: failed to deliver $quantity unit(s) of $commodity to $market in time,
market_procurement.failure.player_intel_always..summary,Mission failed - deadline not met.,
market_procurement.failure.player_intel_always..assessment,,
....subject,,
....summary,,
....assessment,,
# analyze entity mission....subject,,
# analyze entity mission....summary,,
# analyze entity mission....assessment,,
analyze_entity.posting.posting..subject,Run provided sensor package on $entityName in $systemName within $daysLeft for $rewardCredits payment.,
analyze_entity.posting.posting..summary,Mission will be considered completed and payment posted immediately upon running the sensor package.,
analyze_entity.posting.posting..assessment,$locationHint,
analyze_entity.accept.secure_comm..subject,Accepted: run sensor package on $entityName in $systemName,
analyze_entity.accept.secure_comm..summary,"$rewardCredits reward, must be completed within $daysLeft.

Mission will be considered completed and payment posted immediately upon running the sensor package.",
analyze_entity.accept.secure_comm..assessment,$locationHint,
analyze_entity.failure.player_intel_always..subject,Failed: run sensor package on $entityName in $systemName,
analyze_entity.failure.player_intel_always..summary,Mission failed - deadline not met.,
analyze_entity.failure.player_intel_always..assessment,,
analyze_entity.success.player_intel_always..subject,Completed: run sensor package on $entityName in $systemName,
analyze_entity.success.player_intel_always..summary,Mission completed successfully.,
analyze_entity.success.player_intel_always..assessment,$rewardCredits gained.,
....subject,,
