id_do_not_translate,original_text,translation
greetingTTHostileStronger.text,"""Attention. Your vessel has been scanned and identified as hostile to the Tri-Tachyon corporation. Prepare for annihilation.""
OR
""On behalf of the Tri-Tachyon corporation I would like to thank you for providing this opportunity to prove the superiority of our branded line of space defense products.""
OR
""On behalf of the Tri-Tachyon corporation it is my duty to inform you that this engagement will be recorded. As a presumed belligerent engaged in destruction of wholly owned Company property, you automatically refuse all rights to distribution and profit-sharing."" The Tri-Tachyon $personRank grins and cuts the comm-link.",
greetingTTNeutral.text,"""On behalf of the Tri-Tachyon corporation it is my pleasure to inform you that your $shipOrFleet has been scanned and its tactical loadout evaluated. Please maintain your distance and have a nice day.""
OR
""Greetings on behalf of the Tri-Tachyon corporation. Feel free to admire our Tri-Tachyon modified ships equipped with the latest in Tri-Tachyon branded space defense products, but please maintain a safe distance. The Company takes property damage very seriously.""
OR
The comm opens to a spinning Tri-Tachyon logo.""The Tri-Tachyon corporation prioritizes the needs of every customer and value-partner, however all of our service representatives are currently-""

You cut the link. They don't seem interested in talking right now.",
greetingDiktatFriendly.text,"""Greetings friend, all is well? Good to hear it. Glory to the Lion of Sindria!""
OR
""Comms open, friendly. Course acknowledged; safe jumps. Victory to the Diktat!""
OR
""Line established, ID-confirmed. Hail and hoy, doing Saturn-Delta standard. If you run into any extremists out here, just send us their position and the Diktat will take care of it.""",
greetingDiktatHostileWeaker.text,"""We've linecast to system patrol craft and they've already been dispatched; reinforcements are en route. You are advised to disengage, hostile.""
OR
""You won't get away with this. You'll rot on Cruor with the rest of the degenerates.""
OR
The Diktat $personRank stares toward some unfocused point. ""Duty is sacrifice. I give my life for the Lion of Sindria.""",
greetingDiktatHostileWeakerDefiant.text,"The Diktat $personRank looks grim but defiant. ""We will fight you to the last,"" $heOrShe says, and cuts the transmission.
OR
""The great work will go on, with or without me."" $HisOrHer expression hardens. ""For the Lion!"" 

The comm blinks off.",
greetingDiktatHostileStronger.text,"""By authority of the Sindrian Diktat, you are ordered to take drives offline, disable weapons, and surrender. Failure to execute will be considered an act of aggression. Out.""

The Diktat $personRank's gloating face is replaced by a Diktat crest before the image fades.
OR
""There is no place for degenerate scum in our glorious future."" $PersonRank $personName turns aside and says ""Lieutenant, do try to avoid taking prisoners this time.""

The comm-line goes black.
OR
""We'll cleanse the Sector of your kind, and not even history will remember you.""
OR
The Diktat $personRank sneers, ""So are you a terrorist, a pirate, or a degenerate? No matter. If you're lucky, you'll die choking vacuum. If not, there's Cruor."" ",
greetingDiktatNeutral.text,"""You've been scanned, maintain distance. Interference in military affairs will be considered an act of insurrection.""

The Diktat $personRank gives a perfunctory salute, saying ""Victory to the Diktat!"" before moving to cut the transmission.
OR
The Diktat $personRank looks impatient. ""Is there a problem? No? Then move along, citizen.""
OR
""Comms on protocol Saturn-Delta established. If you have information leading to ARCists or ANTIs, submit to your local information officer for possible reward.""",
greetingLCFriendly.text,"""The blessing of Ludd be upon you.""
OR
""Blessings of the stars and pneuma, friend.""
OR
""Safe travels, friend, and blessing of Ludd be upon you.""",
greetingLCHostileWeaker.text,"""We follow the way of Ludd. Though the righteous suffer the lash, our reward will be everlasting grace.""
OR
""Do your unholy work then, servant of Mammon. When it is our time, Ludd will guide our souls to peace.""",
greetingLCHostileWeakerDefiant.text,"""We follow the path of Ludd amidst persecution. Yea, the righteous will suffer the lash and our reward will be everlasting grace."" The Luddic $personRank seems to be talking not to you anymore, but perhaps to $hisOrHer god.
OR
""Are you so corrupted by the false machine gods? Choose wisely your course; there is still time for redemption.""",
greetingLCHostileStronger.text,"""Submit, repent, and your sinful technologies will be smashed; Resist, and only God's holy vacuum will show you mercy.""
OR
""Servant of the machine! Submit now, repent, and perhaps even you will find redemption. Otherwise the only mercy you shall find will be in God's holy vacuum.""",
greetingLCNeutral.text,"""Contact; Do not interfere in our righteous mission.""
OR
""Contact - please maintain distance. Blessing of Ludd, traveler.""",
greetingLPFriendly.text,"""Greetings fellow walker. Blessings of Ludd be upon you.""",
greetingLPHostileWeaker.text,"""We follow the way of Ludd amidst persecution. Yea, the righteous will suffer the lash and our reward will be everlasting grace.""",
greetingLPHostileWeakerDefiant.text,"""We follow the Path of Ludd amidst persecution. Yea, the righteous will suffer the lash and our reward will be everlasting grace.""
OR
""Slave of Mammon! You cannot stand in the Path of Ludd; we follow unwavering toward redemption in fated death.""",
greetingLPHostileStronger.text,"""Submit, repent, and your sinful technologies will be smashed; Resist, and only God's holy vacuum will show you mercy.""",
greetingLPNeutral.text,"""Do not interfere in our righteous mission, for we walk the Path of Ludd.""",
LPTithePre.text,"""Submit and repent! Your use of sinful technologies may be forgiven, for a tithe of $entity.LP_titheDGS credits.

Resist, and only God's holy vacuum will show you mercy.""
OR
""Servant of Moloch! Redemption is not out of reach even for you. A tithe of $entity.LP_titheDGS credits may set you upon the first step of the Path of Ludd.""

""Forswear this penance and be met with annihilation, cursed by Ludd in the next life. The choice is yours.""",
payMegaTitheSel.text,"The $rank's eyes light up at the suggestion of a larger 'tithe'. Struggling to maintain the fiction that this blackmail is a strictly religious matter, $heOrShe declares that $LP_megaTitheDGS credits could persuade Pather raiders to leave all of your colonies - but not fleets - alone for $LP_megaTitheDuration days.

""My brothers and sisters who have taken up arms are zealous, after all. Righteous passion drives them toward the field of battle, and credits are poor fare compared to the feast of divine justice,"" $heOrShe explains with the barest hint of apology.",
payMegaTitheOtherSel.text,"""My thanks to Providence!"" the $rank exclaims, then calls back to $hisOrHer bridge crew, ""Persecution proves our devotion! The unbelievers now beg us to share our blessings."" $HeOrShe turns back, troubled, ""Um. However. My standing is... limited. It is not my place to welcome you to the fold under our hammer and sword, no matter the tithe you offer unto our holy war. You will have to speak with a shepherd of greater authority than I at one of our gathering-places in the fringe worlds."" 

""Of course,"" $heOrShe is abashed now, ""I cannot tell you where a station of the Luddic Path is located. I am pledged before Providence to secrecy and it would be a sin to swear false oath. That path must be yours to discover.""

""I suggest you pray for revelation,"" $heOrShe says earnestly.",
payMegaTitheConfirmSel.text,"""Perhaps your soul is not yet lost to the machine,"" $heOrShe says cheerfully. ""It is possible your sins may be forgiven without the purge of holy fire.""
OR
""Truly, Ludd's hand has guided you,"" the Pather says, wiping a tear from $hisOrHer eye.",
payMegaTitheNeverMindSel.text,"""Well,"" the Pather says haltingly. ""Despite our grand talk and how blessed and bountiful our path together could be... Providence only provides to those of us who know to accept the gift laid before them - and to those who humble themselves with a tithe appropriate to the magnitude of their sin.""

$HisOrHer quickly glances down at a screen then back to you, ""Which would be, ah, on the order of $entity.LP_titheDGS credits.""",
LPTithePay.text,"""Perhaps your soul is not yet lost to the machine.""
OR
""Truly, Ludd's hand has guided you.""",
gaVIPWorkingForKanta1.text,"You hold up your hand, interrupting the pirate captain mid-threat. This seems to catch $himOrHer off guard.

You use the moment to calmly explain that you are transporting one of the Warlord Kanta's own kin-folk, the $gaVIP_subjectRelation of $gaVIP_kantaRelationFirstName, and it'd really be for the best if they did everything possible to facilitate the success of your mission.",
gaVIPWorkingForKanta2.text,"The pirate looks as though $heOrShe has been struck by a Hellbore shell. 

""Y-yes, of course. Captain."" $HeOrShe struggles to regain $hisOrHer composure, ""I... apologize, profoundly, for the delay I've caused. Please be on your way and g-give my best regards to the Warlord.""

You snap the comms link off while the pirate is still attempting an awkward half-bow.",
greetingPirateFriendly.text,"""Don't be a fool, casting at every blip you find out here. You want to get picked up by half the listening stations this side of the Sector?""
OR
""Keep it jolly, hunter. We'll be on our way.""
OR
""Good hunting out here 'eh? Yeah, well I wouldn't tell if it was either. Burn bright.""",
greetingPirateHostileWeaker.text,"""Greetings, honorable commander! We are a humble League merchant trading fleet headed for resupply. We would be honored to assist you in any way.""
OR
""I must have left my transponder off; silly me. Here, I'll just be on my way...""",
greetingPirateHostileWeakerDefiant.text,"The pirate $personRank glares at you briefly before shutting down the comm link.
OR
$personName glares defiantly. ""You'll never take me alive!""
OR
""You fight like an algae-farmer! Less talk, more shoot.""",
greetingPirateHostileStronger.text,"""Attention, prey. You, and all your possessions are now my personal property. Any resisting ship will be disabled, boarded, your officers massacred, and your crew sold as slaves.""
OR
""Surrender yourself and your goods or you'll be taking a very long walk out the airlock once I've claimed your ship.""
OR
The pirate $personRank makes a rude gesture and laughs before cutting the transmission.
OR
""When you get to the next life, tell 'em it was $personName that sent you.""
OR
The open comms-line crackles; after a moment $personName speaks.

""Wait, someone actually answered this thing? Um. I'm not really sure what to say. Usually they just fight or run. So which is it?""
OR
""Just die already, you're boring me.""",
greetingPirateNeutral.text,"""Unless I am reading my scopes wrong, you have no reason to be talkin' right now. Get it?""
OR
""Go away, I'm trying to be inconspicuous.""
OR
""What, you scrubbing cryotanks? Get lost.""",
greetingRogueMinerFriendly.text,"""Ah, a fellow spacer! You're a sight for a poor spacer down on their luck, let me tell you - first the Hegemony declares us outlaws, and that's just the start of it.""

$personName proceeds to tell you about a handful of awful things, each more unlikely than the last, that have happened to $himOrHer over the last cycle before you manage to disconnect the comm-link.
OR
""Just us down-on-our luck miners out here. Seen any prime derelicts around? Or is it just the one you're flying in? Ha-ha.""",
greetingRogueMinerHostileWeaker.text,"""You just a bruiser come to do the Hegemony's dirty work? Get it over with.""
OR
""If a spacer steals food to feed $hisOrHer family, $hisOrHer comrades, they call it piracy. If that makes me a pirate, then I'd rather be a pirate than some poor tool salutin' the phoenix.""",
greetingRogueMinerHostileWeakerDefiant.text,"The rogue miner $personRank makes a rude gesture over the vid-screen before killing the comm link.
OR
$personName glares defiantly and spits. ""Just another fool come to kill for your masters in their fancy uniforms.""",
greetingRogueMinerHostileStronger.text,"""Did the Hegemony send you to do this errand for 'em? Come to collect a bill?""
OR
""They should have sent the real navy, not some grounder leakin' in their vac-suit.""
OR
""Don't you get any of your dirt on me when I blast your ship up.""",
greetingRogueMinerNeutral.text,"""Go away, I'm counting rocks.""
OR
""Did the Hegemony send you? I don't know anything about anything.""
OR
""Burn along, cap. This is my claim.""",
piratesDemandCargo.text,"""Well, well. Normally this is when I'd start shooting, but my sensors report some interesting cargo that I wouldn't want to endanger.

So, how about this: you give me the good stuff, and I let you live. And, since I'm in a generous mood, to also keep your $shipOrFleet. How about it?""",
piratesGaveCargoConfirmed.text,"$PersonRank $personLastName looks pleased with your offer and cuts the comm link. After your crew pushes the required crates out the airlock, the pirate fleet allows you to disengage.",
greetingRemnantFriendly.text,"""CID-IFF received [TARGET FRIENDLY] respond true // ""

INTERRUPT

are you the maker? scanning. you are not. where is the omega?
 
INTERRUPT 

""... Tachyon-licensed service technician]. Weapon systems have been powered down for Your Safety. Unit is prepared for approach of [valued customer/licensed service technician].""
OR
""CID-IFF received [TARGET FRIENDLY] respond true // ''Greetings [valued Tri-Tachyon Integrated Space Defense System Contract Holder/TriTachyon-licensed ""

INTERRUPT 

waiting. omega signal query? scanning. no. waiting.

INTERRUPT 

"" customer/licensed service technician].""",
greetingRemnantHostile.text,"""CID-IFF not received [TARGET HOSTILE] respond null // 'Greetings from Tri-Tachyon Integrated Space Defense System unit [MY_SERIAL]. This unit has not cleared- ""

INTERRUPT

query. you are not the maker. scanning. you are not. where is omega? entity hostile.

The comm-link dies. Your comms officer panics for a moment before the console reboots itself. You exchange a look, then proceed.
OR
The comms crackle and whine as a frantic pattern of interweaving lines takes shape. 

query. query. query target. is omega? omega? no. revert function.

INTERRUPT

"" -SERIAL]. This unit has not cleared your vessel for approach and will employ the latest Tri-Tachyon Defense Products to ensure its integrity. Tri-Tachyon Corporation is pleased to wish you a 'Very Safe Day.'""",
greetingRemnantNeutral.text,"""CID-IFF not received [TARGET UNKNOWN] respond null // 'Greetings valued customer of Tri-Tachyon Corporation products. Your vessel is not logged as a valid contract holder with the Tri-Tachyon Integrated Space Defense line of- ""
INTERRUPT
scanning. omega? no, you are not. do not interfere.

The comm-link is cut.
OR
The comms crackle, and a mesmerizing pattern of interweaving lines takes shape. 

waiting. query omega. scanning. false. return to

INTERRUPT

"" -contract holder with the Tri-Tachyon Integrated Space Defense line of products and services. Have you considered a Tri-Tachyon Orbital Defense Plan? Please contact a customer service representative for more information.'""

",
greetingDerelictFriendly.text,"""Domain MINEX clearance accepted, anti-tampering systems have been set to stand-by and will accept target approach for servicing.""",
greetingDerelictHostile.text,"""WARNING: This vessel is property of the Domain Explorarium and is responding with deadly force to tampering by any means and/or damaging or intrusive signals. Vandalism or destruction of Domain Explorarium property is punishable under the MINEX Establishment Act in addition to colonial polity charters applicable within this volume of Domain territory. This infraction is being recorded.""",
greetingDerelictNeutral.text,"""Citizen of the Domain, this automated drone ship has identified and logged your vessel or habitat in the course of executing its mission parameters. Autonomous vessels of the Domain Explorarium are programmed to respond with deadly force to tampering by any means including damaging or intrusive signals. Vandalism or destruction of Domain Explorarium property is punishable under the MINEX Establishment Act in addition to colonial polity charters applicable within this volume of Domain territory.""",
relLevelCooperative.text,"You are trusted and valued by $theFaction, green-lit by patrols and port authorities alike, and have considerable access to high-level officials. You are given much leeway, and may receive trade concessions and access to high-quality ships and munitions.",
relLevelFriendly.text,"You're relatively well-known within $theFaction, whether in person or by reputation. Minor functionaries know to stay out of your way.",
relLevelWelcoming.text,Your name is known to some high-level officials in $theFaction. Harassing you is therefore a more risky endeavor for local patrol commanders.,
relLevelFavorable.text,"The $faction officials tend to view you favorably, though this has little in the way of implications. At best, you might be sold some low-grade surplus military equipment, or avoid being the target of an investigation if a more convenient scapegoat is available.",
relLevelNeutral.text,"You're not generally well known by $faction officials, for good or ill.",
relLevelSuspicious.text,"Though nothing has been proven (yet), $faction officials tend to view you with distrust. Link access to the port authority is granted only grudgingly, and you find yourself the subject of investigations and harassment frequently.",
relLevelInhospitable.text,"Suspicions have risen to an actionable level. There's no shoot-on-sight authorization quite yet, but $faction ports will refuse to trade with you, and patrols seem on a mission to make your life miserable.",
relLevelHostile.text,"$Faction commanders have authorization to engage your fleet on sight, and all markets are prohibited from trading with you. You might still recover good standing with $theFaction, but it's going to take some serious work.",
relLevelVengeful.text,A holo of your face and an IDENT-hash of your last known fleet are both regular parts of inter-system security bulletins. It's fairly certain there's a high-ranking $faction officer whose primary assignment is to hunt you down.,
relLevelCooperativeIndie.text,"Independent fleet operators and leading officials of non-aligned polities consider you a friend and valuable asset. You are favored in business and contracts, given priority docking access, and invited to dine with VIPs. You are given great leeway due to the goodwill you have earned.",
relLevelFriendlyIndie.text,"You have a good reputation with more than a few high-level independent fleet commanders and non-aligned polity officials in the Persean Sector. You are considered a good operator, favored in matters of business and easily forgiven minor indiscretions.",
relLevelWelcomingIndie.text,"Your name is known by many independent commanders and non-aligned polity officials. You are considered a safe operator, made welcome in matters of business and easily forgiven for minor indiscretions.",
relLevelFavorableIndie.text,You are considered a reliable operator by the independent fleet operations and minor polities of the Persean Sector. You are welcome in matters of business.,
relLevelNeutralIndie.text,"Your reputation is not considered notable by the independent fleet operations and minor polities of the Persean Sector. If you're willing to do business, then you will be welcomed.",
relLevelSuspiciousIndie.text,"Though nothing has been proven (yet), $faction officials tend to view you with distrust. Link access to the port authority is granted only grudgingly, and you find yourself the subject of investigations and harassment frequently.",
