id_do_not_translate_this,original_text,translation
mjolnir.name,"Mjolnir Cannon",
mjolnir.primaryRoleStr,"General",
hellbore.name,"Hellbore Cannon",
hellbore.primaryRoleStr,"Anti Armor",
multineedler.name,"Storm Needler",
multineedler.primaryRoleStr,"Anti Shield",
reaper.name,"Reaper-class Torpedo",
reaper.primaryRoleStr,"Torpedo",
atropos.name,"Atropos-class Torpedo Rack",
atropos.primaryRoleStr,"Torpedo",
atropos_single.name,"Atropos-class Torpedo (Single)",
atropos_single.primaryRoleStr,"Torpedo",
hammer.name,"Hammer-class Torpedo",
hammer.primaryRoleStr,"Torpedo",
hammer_single.name,"Hammer-class Torpedo (Single)",
hammer_single.primaryRoleStr,"Torpedo",
swarmer.name,"Swarmer SRM Launcher",
swarmer.primaryRoleStr,"Anti Small Craft",
swarmer_fighter.name,"Swarmer SRM Launcher",
swarmer_fighter.primaryRoleStr,"Anti Small Craft",
annihilator.name,"Annihilator Rocket Launcher",
annihilator.primaryRoleStr,"Anti Armor",
annihilator_fighter.name,"Annihilator Rocket Pod",
annihilator_fighter.primaryRoleStr,"Anti Armor",
heatseeker.name,"Salamander MRM",
heatseeker.primaryRoleStr,"Anti Engine",
harpoon.name,"Harpoon MRM",
harpoon.primaryRoleStr,"Finisher",
harpoon_single.name,"Harpoon MRM (Double)",
harpoon_single.primaryRoleStr,"Finisher",
breach.name,"Breach SRM",
breach.primaryRoleStr,"Anti Armor",
sabot.name,"Sabot SRM",
sabot.primaryRoleStr,"Anti Shield",
sabot_single.name,"Sabot SRM (Double)",
sabot_single.primaryRoleStr,"Anti Shield",
sabot_fighter.name,"Sabot SRM (Single)",
sabot_fighter.primaryRoleStr,"Anti Shield",
gorgon.name,"Gorgon DEM SRM",
gorgon.primaryRoleStr,"Assault / Finisher",
gorgon_payload.name,"    Gorgon - Payload",
gorgon_payload.primaryRoleStr,"",
gazer.name,"Gazer DEM SRM",
gazer.primaryRoleStr,"Suppression",
gazer_payload.name,"    Gazer - Payload",
gazer_payload.primaryRoleStr,"",
harpoonpod.name,"Harpoon MRM Pod",
harpoonpod.primaryRoleStr,"Finisher",
dragon.name,"Dragonfire DEM Torpedo",
dragon.primaryRoleStr,"Torpedo",
dragon_payload.name,"    Dragonfire - Payload",
dragon_payload.primaryRoleStr,"",
gorgonpod.name,"Gorgon SRM Pod",
gorgonpod.primaryRoleStr,"Assault / Finisher",
gazerpod.name,"Gazer SRM Pod",
gazerpod.primaryRoleStr,"Suppression",
breachpod.name,"Breach SRM Pod",
breachpod.primaryRoleStr,"Anti Armor",
sabotpod.name,"Sabot SRM Pod",
sabotpod.primaryRoleStr,"Anti Shield",
salamanderpod.name,"Salamander MRM Pod",
salamanderpod.primaryRoleStr,"Anti Engine",
annihilatorpod.name,"Annihilator Rocket Pod",
annihilatorpod.primaryRoleStr,"Pressure",
pilum.name,"Pilum LRM Launcher",
pilum.primaryRoleStr,"Long Range Support",
phasecl.name,"Proximity Charge Launcher",
phasecl.primaryRoleStr,"Pressure / Anti Fighter",
phasecl_bomber.name,"Proximity Charge Launcher",
phasecl_bomber.primaryRoleStr,"Strike",
jackhammer.name,"Jackhammer",
jackhammer.primaryRoleStr,"Torpedo",
typhoon.name,"Typhoon Reaper Launcher",
typhoon.primaryRoleStr,"Torpedo",
cyclone.name,"Cyclone Reaper Launcher",
cyclone.primaryRoleStr,"Torpedo",
pilum_large.name,"Pilum LRM Catapult",
pilum_large.primaryRoleStr,"Long Range Support",
hurricane.name,"Hurricane MIRV Launcher",
hurricane.primaryRoleStr,"Finisher",
dragonpod.name,"Dragonfire Torpedo Pod",
dragonpod.primaryRoleStr,"Torpedo",
hydra.name,"Hydra MDEM Launcher",
hydra.primaryRoleStr,"General",
hydra_payload.name,"    Hydra - Payload",
hydra_payload.primaryRoleStr,"",
squall.name,"Squall MLRS",
squall.primaryRoleStr,"Suppression",
locust.name,"Locust SRM Launcher",
locust.primaryRoleStr,"Anti Small Craft",
hammerrack.name,"Hammer Barrage",
hammerrack.primaryRoleStr,"Torpedo",
mininglaser.name,"Mining Laser",
mininglaser.primaryRoleStr,"Point Defense",
pdlaser.name,"PD Laser",
pdlaser.primaryRoleStr,"Point Defense",
taclaser.name,"Tactical Laser",
taclaser.primaryRoleStr,"General",
ioncannon.name,"Ion Cannon",
ioncannon.primaryRoleStr,"Suppression",
ioncannon_fighter.name,"Ion Cannon (High Delay)",
ioncannon_fighter.primaryRoleStr,"Suppression",
irpulse.name,"IR Pulse Laser",
irpulse.primaryRoleStr,"General",
irpulse_fighter.name,"IR Pulse Laser (High Delay)",
irpulse_fighter.primaryRoleStr,"General",
lrpdlaser.name,"LR PD Laser",
lrpdlaser.primaryRoleStr,"Point Defense",
pdburst.name,"Burst PD Laser",
pdburst.primaryRoleStr,"Point Defense",
pdburst_fighter.name,"Burst PD Laser (High Delay)",
pdburst_fighter.primaryRoleStr,"Point Defense",
amblaster.name,"Antimatter Blaster",
amblaster.primaryRoleStr,"Strike",
phasebeam.name,"Phase Lance",
phasebeam.primaryRoleStr,"General",
gravitonbeam.name,"Graviton Beam",
gravitonbeam.primaryRoleStr,"Suppression",
irautolance.name,"IR Autolance",
irautolance.primaryRoleStr,"General",
pulselaser.name,"Pulse Laser",
pulselaser.primaryRoleStr,"General",
miningblaster.name,"Mining Blaster",
miningblaster.primaryRoleStr,"General",
heavyblaster.name,"Heavy Blaster",
heavyblaster.primaryRoleStr,"General",
kineticblaster.name,"Kinetic Blaster",
kineticblaster.primaryRoleStr,"Anti Shield",
heavyburst.name,"Heavy Burst Laser",
heavyburst.primaryRoleStr,"Point Defense",
ionpulser.name,"Ion Pulser",
ionpulser.primaryRoleStr,"Suppression",
ionbeam.name,"Ion Beam",
ionbeam.primaryRoleStr,"Suppression",
plasma.name,"Plasma Cannon",
plasma.primaryRoleStr,"General",
hil.name,"High Intensity Laser",
hil.primaryRoleStr,"Anti Armor",
autopulse.name,"Autopulse Laser",
autopulse.primaryRoleStr,"General",
guardian.name,"Paladin PD System",
guardian.primaryRoleStr,"Point Defense",
tachyonlance.name,"Tachyon Lance",
tachyonlance.primaryRoleStr,"Suppression",
gigacannon.name,"Gigacannon",
gigacannon.primaryRoleStr,"Strike",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
minipulser.name,"Minipulser",
minipulser.primaryRoleStr,"Anti Shield",
shockrepeater.name,"Shock Repeater",
shockrepeater.primaryRoleStr,"Point Defense",
riftlance.name,"Rift Lance",
riftlance.primaryRoleStr,"General",
riftlance_minelayer.name,"Rift Lance Minelayer",
riftlance_minelayer.primaryRoleStr,"",
riftbeam.name,"Rift Beam",
riftbeam.primaryRoleStr,"Point Defense",
riftbeam_minelayer.name,"Rift Beam Minelayer",
riftbeam_minelayer.primaryRoleStr,"",
cryoflux.name,"Cryoflamer",
cryoflux.primaryRoleStr,"General",
cryoblaster.name,"Cryoblaster",
cryoblaster.primaryRoleStr,"General",
disintegrator.name,"Disintegrator",
disintegrator.primaryRoleStr,"Anti Armor",
riftcascade.name,"Rift Cascade Emitter",
riftcascade.primaryRoleStr,"General",
riftcascade_minelayer.name,"Rift Cascade Emitter Minelayer",
riftcascade_minelayer.primaryRoleStr,"",
vpdriver.name,"Volatile Particle Driver",
vpdriver.primaryRoleStr,"Anti Shield",
realitydisruptor.name,"Reality Disruptor",
realitydisruptor.primaryRoleStr,"Suppression",
.name,"",
.primaryRoleStr,"",
amsrm.name,"Antimatter SRM Launcher",
amsrm.primaryRoleStr,"Anti Small Craft",
resonatormrm.name,"Resonator MRM Launcher",
resonatormrm.primaryRoleStr,"Anti Shield",
rifttorpedo.name,"Rift Torpedo Launcher",
rifttorpedo.primaryRoleStr,"Guided Torpedo",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
interdictorbeam.name,"Interdictor Beam",
interdictorbeam.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
canister_flak.name,"Canister Flak",
canister_flak.primaryRoleStr,"",
flarelauncher1.name,"Flare Launcher 1",
flarelauncher1.primaryRoleStr,"",
flarelauncher2.name,"Decoy Flare Launcher",
flarelauncher2.primaryRoleStr,"",
flarelauncher21.name,"Decoy Flare Launcher (Single)",
flarelauncher21.primaryRoleStr,"",
flarelauncher3.name,"Seeker Flare Launcher",
flarelauncher3.primaryRoleStr,"",
motelauncher.name,"Mote Launcher",
motelauncher.primaryRoleStr,"",
motelauncher_hf.name,"Mote Launcher",
motelauncher_hf.primaryRoleStr,"",
minelayer1.name,"Minelayer",
minelayer1.primaryRoleStr,"",
minelayer2.name,"Heavy Minelayer",
minelayer2.primaryRoleStr,"",
od_bomblauncher.name,"Orion Device Bomb Launcher",
od_bomblauncher.primaryRoleStr,"",
nb_bomblauncher.name,"Nova Burst Bomb Launcher",
nb_bomblauncher.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
tpc.name,"Thermal Pulse Cannon",
tpc.primaryRoleStr,"General",
terminator_missile.name,"Terminator Missile Conversion",
terminator_missile.primaryRoleStr,"Missile",
.name,"",
.primaryRoleStr,"",
pusherplate_lt.name,"Pusher Plate (Low Tech)",
pusherplate_lt.primaryRoleStr,"",
pusherplate_lt_small.name,"Pusher Plate (Low Tech, Small)",
pusherplate_lt_small.primaryRoleStr,"",
pusherplate_nova.name,"Pusher Plate (Remnant, Nova)",
pusherplate_nova.primaryRoleStr,"",
sensordish.name,"Sensor Dish",
sensordish.primaryRoleStr,"",
lidardish.name,"Lidar Dish",
lidardish.primaryRoleStr,"Special",
novalaser.name,"Nova Laser",
novalaser.primaryRoleStr,"Special",
blinker_red.name,"Blinker Red",
blinker_red.primaryRoleStr,"",
blinker_green.name,"Blinker Green",
blinker_green.primaryRoleStr,"",
lights_buffalo.name,"Lights - Buffalo",
lights_buffalo.primaryRoleStr,"",
lights_hound.name,"Lights - Hound",
lights_hound.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
targetinglaser1.name,"Targeting Laser - Red",
targetinglaser1.primaryRoleStr,"Special",
targetinglaser2.name,"Targeting Laser - Green",
targetinglaser2.primaryRoleStr,"Special",
targetinglaser3.name,"Targeting Laser - Double Red Continuous",
targetinglaser3.primaryRoleStr,"Special",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
.name,"",
.primaryRoleStr,"",
